Team_Key,Team_Name,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Points
390.l.43068.t.3,"b""Champ's Chosen Ones""",73.68,8,2019,390.l.43068.t.6,b'Hep C-ity Rejects',137.26
390.l.43068.t.6,b'Hep C-ity Rejects',137.26,8,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",73.68
390.l.43068.t.4,b'Doc Y',87.48,8,2019,390.l.43068.t.5,b'BROTHER SHAMUS',133.68
390.l.43068.t.5,b'BROTHER SHAMUS',133.68,8,2019,390.l.43068.t.4,b'Doc Y',87.48
390.l.43068.t.8,b'Sharknadoes',121.64,8,2019,390.l.43068.t.9,b'Uno',93.36
390.l.43068.t.9,b'Uno',93.36,8,2019,390.l.43068.t.8,b'Sharknadoes',121.64
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',110.7,9,2019,390.l.43068.t.7,b'Herndiggler',116.04
390.l.43068.t.7,b'Herndiggler',116.04,9,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',110.7
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",110.2,9,2019,390.l.43068.t.8,b'Sharknadoes',122.98
390.l.43068.t.8,b'Sharknadoes',122.98,9,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",110.2
390.l.43068.t.3,"b""Champ's Chosen Ones""",119.22,9,2019,390.l.43068.t.4,b'Doc Y',108.76
390.l.43068.t.4,b'Doc Y',108.76,9,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",119.22
390.l.43068.t.5,b'BROTHER SHAMUS',105.34,9,2019,390.l.43068.t.6,b'Hep C-ity Rejects',80.04
390.l.43068.t.6,b'Hep C-ity Rejects',80.04,9,2019,390.l.43068.t.5,b'BROTHER SHAMUS',105.34
390.l.43068.t.9,b'Uno',91.22,9,2019,390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',136.2
390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',136.2,9,2019,390.l.43068.t.9,b'Uno',91.22
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',117.64,10,2019,390.l.43068.t.5,b'BROTHER SHAMUS',114.64
390.l.43068.t.5,b'BROTHER SHAMUS',114.64,10,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',117.64
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",109.68,10,2019,390.l.43068.t.6,b'Hep C-ity Rejects',79.22
390.l.43068.t.6,b'Hep C-ity Rejects',79.22,10,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",109.68
390.l.43068.t.3,"b""Champ's Chosen Ones""",115.48,10,2019,390.l.43068.t.4,b'Doc Y',82.42
390.l.43068.t.4,b'Doc Y',82.42,10,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",115.48
390.l.43068.t.7,b'Herndiggler',120.62,10,2019,390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',122.38
390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',122.38,10,2019,390.l.43068.t.7,b'Herndiggler',120.62
390.l.43068.t.8,b'Sharknadoes',87.82,10,2019,390.l.43068.t.9,b'Uno',155.52
390.l.43068.t.9,b'Uno',155.52,10,2019,390.l.43068.t.8,b'Sharknadoes',87.82
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',132.24,11,2019,390.l.43068.t.8,b'Sharknadoes',132.66
390.l.43068.t.8,b'Sharknadoes',132.66,11,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',132.24
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",108.62,11,2019,390.l.43068.t.5,b'BROTHER SHAMUS',85.28
390.l.43068.t.5,b'BROTHER SHAMUS',85.28,11,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",108.62
390.l.43068.t.3,"b""Champ's Chosen Ones""",101.72,11,2019,390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',107.36
390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',107.36,11,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",101.72
390.l.43068.t.4,b'Doc Y',112.08,11,2019,390.l.43068.t.9,b'Uno',106.88
390.l.43068.t.9,b'Uno',106.88,11,2019,390.l.43068.t.4,b'Doc Y',112.08
390.l.43068.t.6,b'Hep C-ity Rejects',87.56,11,2019,390.l.43068.t.7,b'Herndiggler',99.06
390.l.43068.t.7,b'Herndiggler',99.06,11,2019,390.l.43068.t.6,b'Hep C-ity Rejects',87.56
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',97.5,12,2019,390.l.43068.t.6,b'Hep C-ity Rejects',75.32
390.l.43068.t.6,b'Hep C-ity Rejects',75.32,12,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',97.5
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",81.54,12,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",103.8
390.l.43068.t.3,"b""Champ's Chosen Ones""",103.8,12,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",81.54
390.l.43068.t.4,b'Doc Y',82.44,12,2019,390.l.43068.t.8,b'Sharknadoes',118.32
390.l.43068.t.8,b'Sharknadoes',118.32,12,2019,390.l.43068.t.4,b'Doc Y',82.44
390.l.43068.t.5,b'BROTHER SHAMUS',112.66,12,2019,390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',111.1
390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',111.1,12,2019,390.l.43068.t.5,b'BROTHER SHAMUS',112.66
390.l.43068.t.7,b'Herndiggler',116.06,12,2019,390.l.43068.t.9,b'Uno',151.36
390.l.43068.t.9,b'Uno',151.36,12,2019,390.l.43068.t.7,b'Herndiggler',116.06
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',111.18,13,2019,390.l.43068.t.4,b'Doc Y',90.76
390.l.43068.t.4,b'Doc Y',90.76,13,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',111.18
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",119.26,13,2019,390.l.43068.t.9,b'Uno',81.9
390.l.43068.t.9,b'Uno',81.9,13,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",119.26
390.l.43068.t.3,"b""Champ's Chosen Ones""",90.72,13,2019,390.l.43068.t.8,b'Sharknadoes',116.72
390.l.43068.t.8,b'Sharknadoes',116.72,13,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",90.72
390.l.43068.t.5,b'BROTHER SHAMUS',80.7,13,2019,390.l.43068.t.7,b'Herndiggler',94.72
390.l.43068.t.7,b'Herndiggler',94.72,13,2019,390.l.43068.t.5,b'BROTHER SHAMUS',80.7
390.l.43068.t.6,b'Hep C-ity Rejects',106.66,13,2019,390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',84.64
390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',84.64,13,2019,390.l.43068.t.6,b'Hep C-ity Rejects',106.66
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',129,14,2019,390.l.43068.t.7,b'Herndiggler',95
390.l.43068.t.7,b'Herndiggler',95,14,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',129
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",105.08,14,2019,390.l.43068.t.8,b'Sharknadoes',88.06
390.l.43068.t.8,b'Sharknadoes',88.06,14,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",105.08
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',117.3,15,2019,390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',127.08
390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',127.08,15,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',117.3
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",99.88,15,2019,390.l.43068.t.5,b'BROTHER SHAMUS',137.4
390.l.43068.t.5,b'BROTHER SHAMUS',137.4,15,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",99.88
390.l.43068.t.3,"b""Champ's Chosen Ones""",110.94,15,2019,390.l.43068.t.6,b'Hep C-ity Rejects',90.92
390.l.43068.t.6,b'Hep C-ity Rejects',90.92,15,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",110.94
390.l.43068.t.4,b'Doc Y',118.26,15,2019,390.l.43068.t.9,b'Uno',117.58
390.l.43068.t.9,b'Uno',117.58,15,2019,390.l.43068.t.4,b'Doc Y',118.26
390.l.43068.t.7,b'Herndiggler',106.46,15,2019,390.l.43068.t.8,b'Sharknadoes',150.22
390.l.43068.t.8,b'Sharknadoes',150.22,15,2019,390.l.43068.t.7,b'Herndiggler',106.46
390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',96.72,16,2019,390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",100.06
390.l.43068.t.2,"b""2 Cooper's 1 Kupp""",100.06,16,2019,390.l.43068.t.1,b'\xf0\x9f\x8c\x8aChe Danno\xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',96.72
390.l.43068.t.3,"b""Champ's Chosen Ones""",114.96,16,2019,390.l.43068.t.4,b'Doc Y',107.76
390.l.43068.t.4,b'Doc Y',107.76,16,2019,390.l.43068.t.3,"b""Champ's Chosen Ones""",114.96
390.l.43068.t.5,b'BROTHER SHAMUS',113.74,16,2019,390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',113.06
390.l.43068.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',113.06,16,2019,390.l.43068.t.5,b'BROTHER SHAMUS',113.74
390.l.43068.t.6,b'Hep C-ity Rejects',72.66,16,2019,390.l.43068.t.9,b'Uno',122.42
390.l.43068.t.9,b'Uno',122.42,16,2019,390.l.43068.t.6,b'Hep C-ity Rejects',72.66
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',122.68,1,2020,399.l.643103.t.2,b'Mixon It Up',73.9
399.l.643103.t.2,b'Mixon It Up',73.9,1,2020,399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',122.68
399.l.643103.t.3,"b""Champ's Chosen Ones""",144.16,1,2020,399.l.643103.t.8,b'Sharknadoes',145.92
399.l.643103.t.8,b'Sharknadoes',145.92,1,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",144.16
399.l.643103.t.4,b'Doc Y',116.74,1,2020,399.l.643103.t.7,b'Herndiggler',150.14
399.l.643103.t.7,b'Herndiggler',150.14,1,2020,399.l.643103.t.4,b'Doc Y',116.74
399.l.643103.t.5,b'BROTHER SHAMUS',121,1,2020,399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',69.7
399.l.643103.t.10,b'\xf0\x9f\x92\x84 SBTF\xe2\x80\x99ers \xf0\x9f\x92\x84',69.7,1,2020,399.l.643103.t.5,b'BROTHER SHAMUS',121
399.l.643103.t.1,b'\xf0\x9f\x8c\x8a daniel  \xf0\x9f\x8f\x84\xf0\x9f\x8f\xbd',142.22,2,2020,399.l.643103.t.3,"b""Champ's Chosen Ones""",97.1
