Team_Key,Team_Name,Division,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Division,Opponent_Points
380.l.67583.t.5,Champ's Chosen Ones,No Division,152.3,13,2018,380.l.67583.t.4,Fat Gagger,No Division,101.52
380.l.67583.t.6,Sharknadoes,No Division,123.3,13,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,117.42
380.l.67583.t.7,Hep C-ity All Stars,No Division,117.42,13,2018,380.l.67583.t.6,Sharknadoes,No Division,123.3
380.l.67583.t.9,Pull out ur Chubb,No Division,122.16,13,2018,380.l.67583.t.10,Year of Mitch,No Division,100.34
380.l.67583.t.10,Year of Mitch,No Division,100.34,13,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,122.16
380.l.67583.t.3,Herndonkey,No Division,109.72,14,2018,380.l.67583.t.4,Fat Gagger,No Division,92.68
380.l.67583.t.4,Fat Gagger,No Division,92.68,14,2018,380.l.67583.t.3,Herndonkey,No Division,109.72
380.l.67583.t.8,Doc Y,No Division,73.78,14,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,115.4
380.l.67583.t.9,Pull out ur Chubb,No Division,115.4,14,2018,380.l.67583.t.8,Doc Y,No Division,73.78
380.l.67583.t.1,Chadanno,No Division,76.3,15,2018,380.l.67583.t.2,#TheRealLandlord,No Division,117.26
380.l.67583.t.2,#TheRealLandlord,No Division,117.26,15,2018,380.l.67583.t.1,Chadanno,No Division,76.3
380.l.67583.t.3,Herndonkey,No Division,156.36,15,2018,380.l.67583.t.6,Sharknadoes,No Division,112.82
380.l.67583.t.6,Sharknadoes,No Division,112.82,15,2018,380.l.67583.t.3,Herndonkey,No Division,156.36
380.l.67583.t.4,Fat Gagger,No Division,76.98,15,2018,380.l.67583.t.8,Doc Y,No Division,79.98
380.l.67583.t.8,Doc Y,No Division,79.98,15,2018,380.l.67583.t.4,Fat Gagger,No Division,76.98
380.l.67583.t.5,Champ's Chosen Ones,No Division,85.54,15,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,101.16
380.l.67583.t.7,Hep C-ity All Stars,No Division,101.16,15,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,85.54
380.l.67583.t.9,Pull out ur Chubb,No Division,94.82,15,2018,380.l.67583.t.10,Year of Mitch,No Division,87.94
380.l.67583.t.10,Year of Mitch,No Division,87.94,15,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,94.82
380.l.67583.t.1,Chadanno,No Division,95.94,16,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,132.78
380.l.67583.t.5,Champ's Chosen Ones,No Division,132.78,16,2018,380.l.67583.t.1,Chadanno,No Division,95.94
380.l.67583.t.2,#TheRealLandlord,No Division,132.0,16,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,105.68
380.l.67583.t.7,Hep C-ity All Stars,No Division,105.68,16,2018,380.l.67583.t.2,#TheRealLandlord,No Division,132.0
380.l.67583.t.3,Herndonkey,No Division,139.94,16,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,79.84
380.l.67583.t.9,Pull out ur Chubb,No Division,79.84,16,2018,380.l.67583.t.3,Herndonkey,No Division,139.94
380.l.67583.t.6,Sharknadoes,No Division,110.12,16,2018,380.l.67583.t.10,Year of Mitch,No Division,116.06
380.l.67583.t.10,Year of Mitch,No Division,116.06,16,2018,380.l.67583.t.6,Sharknadoes,No Division,110.12
390.l.43068.t.1,Che Danno,No Division,152.0,1,2019,390.l.43068.t.5,BROTHER SHAMUS,No Division,127.02
390.l.43068.t.5,BROTHER SHAMUS,No Division,127.02,1,2019,390.l.43068.t.1,Che Danno,No Division,152.0
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,132.04,1,2019,390.l.43068.t.3,Champ's Chosen Ones,No Division,90.84
390.l.43068.t.3,Champ's Chosen Ones,No Division,90.84,1,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,132.04
390.l.43068.t.4,Doc Y,No Division,135.02,1,2019,390.l.43068.t.6,Hep C-ity Rejects,No Division,110.52
390.l.43068.t.6,Hep C-ity Rejects,No Division,110.52,1,2019,390.l.43068.t.4,Doc Y,No Division,135.02
390.l.43068.t.7,Herndiggler,No Division,113.52,1,2019,390.l.43068.t.8,Sharknadoes,No Division,89.86
390.l.43068.t.8,Sharknadoes,No Division,89.86,1,2019,390.l.43068.t.7,Herndiggler,No Division,113.52
390.l.43068.t.9,Uno,No Division,96.26,1,2019,390.l.43068.t.10,SBTFers,No Division,117.88
390.l.43068.t.10,SBTFers,No Division,117.88,1,2019,390.l.43068.t.9,Uno,No Division,96.26
390.l.43068.t.1,Che Danno,No Division,98.2,2,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,122.4
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,122.4,2,2019,390.l.43068.t.1,Che Danno,No Division,98.2
390.l.43068.t.3,Champ's Chosen Ones,No Division,118.52,2,2019,390.l.43068.t.7,Herndiggler,No Division,105.76
390.l.43068.t.7,Herndiggler,No Division,105.76,2,2019,390.l.43068.t.3,Champ's Chosen Ones,No Division,118.52
390.l.43068.t.4,Doc Y,No Division,91.14,2,2019,390.l.43068.t.10,SBTFers,No Division,107.36
390.l.43068.t.10,SBTFers,No Division,107.36,2,2019,390.l.43068.t.4,Doc Y,No Division,91.14
390.l.43068.t.5,BROTHER SHAMUS,No Division,172.92,2,2019,390.l.43068.t.8,Sharknadoes,No Division,114.76
390.l.43068.t.8,Sharknadoes,No Division,114.76,2,2019,390.l.43068.t.5,BROTHER SHAMUS,No Division,172.92
390.l.43068.t.6,Hep C-ity Rejects,No Division,111.76,2,2019,390.l.43068.t.9,Uno,No Division,95.28
390.l.43068.t.9,Uno,No Division,95.28,2,2019,390.l.43068.t.6,Hep C-ity Rejects,No Division,111.76
390.l.43068.t.1,Che Danno,No Division,138.62,3,2019,390.l.43068.t.9,Uno,No Division,108.98
390.l.43068.t.9,Uno,No Division,108.98,3,2019,390.l.43068.t.1,Che Danno,No Division,138.62
390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,123.46,3,2019,390.l.43068.t.4,Doc Y,No Division,103.96
390.l.43068.t.4,Doc Y,No Division,103.96,3,2019,390.l.43068.t.2,2 Cooper's 1 Kupp,No Division,123.46
